session,participant,period,menu,displayed_first,choice
20210628_1400,3n62rgd0,7,5,q,q
20210628_1400,9f99a2hb,7,25,q,p
20210628_1400,cpgmvfnm,8,15,p,q
20210628_1400,o9o05hu1,8,12,q,q
20210628_1400,h8m28kat,8,16,p,p
20210628_1400,5sc4ncpy,8,20,q,p
20210628_1400,xio1kk58,8,11,p,q
20210628_1400,twsriyk7,8,23,q,p
20210628_1400,nnri11b7,8,11,p,p
20210628_1400,yjzfuu2h,8,25,q,p
20210628_1400,3n62rgd0,8,21,q,q
20210628_1400,9f99a2hb,8,21,q,q
20210628_1400,cpgmvfnm,9,6,q,q
20210628_1400,o9o05hu1,9,21,p,q
20210628_1400,h8m28kat,9,24,p,p
20210628_1400,5sc4ncpy,9,13,p,q
20210628_1400,xio1kk58,9,2,q,q
20210628_1400,twsriyk7,9,6,q,q
20210628_1400,nnri11b7,9,21,p,p
20210628_1400,yjzfuu2h,9,7,q,q
20210628_1400,3n62rgd0,9,12,q,p
20210628_1400,9f99a2hb,9,8,q,q
20210628_1400,cpgmvfnm,10,24,p,q
20210628_1400,o9o05hu1,10,24,q,q
20210628_1400,h8m28kat,10,3,p,p
20210628_1400,5sc4ncpy,10,1,q,q
20210628_1400,xio1kk58,10,5,q,q
20210628_1400,twsriyk7,10,25,p,p
20210628_1400,nnri11b7,10,20,q,p
20210628_1400,yjzfuu2h,10,18,p,q
20210628_1400,3n62rgd0,10,1,q,q
20210628_1400,9f99a2hb,10,7,p,q
20210628_1400,cpgmvfnm,11,19,q,q
20210628_1400,o9o05hu1,11,10,p,q
20210628_1400,h8m28kat,11,12,p,p
20210628_1400,5sc4ncpy,11,23,p,q
20210628_1400,xio1kk58,11,25,q,p
20210628_1400,twsriyk7,11,2,q,p
20210628_1400,nnri11b7,11,22,p,q
20210628_1400,yjzfuu2h,11,24,q,q
20210628_1400,3n62rgd0,11,9,q,q
20210628_1400,9f99a2hb,11,5,q,q
20210628_1400,cpgmvfnm,12,23,p,q
20210628_1400,o9o05hu1,12,1,q,p
20210628_1400,h8m28kat,12,7,p,p
20210628_1400,5sc4ncpy,12,6,p,q
20210628_1400,xio1kk58,12,10,p,p
20210628_1400,twsriyk7,12,20,q,p
20210628_1400,nnri11b7,12,9,p,p
20210628_1400,yjzfuu2h,12,22,p,q
20210628_1400,3n62rgd0,12,13,p,p
20210628_1400,9f99a2hb,12,2,p,q
20210628_1400,cpgmvfnm,13,11,q,q
20210628_1400,o9o05hu1,13,19,p,p
20210628_1400,h8m28kat,13,19,p,p
20210628_1400,5sc4ncpy,13,2,p,q
20210628_1400,xio1kk58,13,6,p,p
20210628_1400,twsriyk7,13,17,q,p
20210628_1400,nnri11b7,13,13,p,q
20210628_1400,yjzfuu2h,13,5,p,q
20210628_1400,3n62rgd0,13,6,p,p
20210628_1400,9f99a2hb,13,24,p,q
20210628_1400,cpgmvfnm,14,16,p,q
20210628_1400,o9o05hu1,14,22,q,q
20210628_1400,h8m28kat,14,1,q,p
20210628_1400,5sc4ncpy,14,22,q,q
20210628_1400,xio1kk58,14,21,q,q
20210628_1400,twsriyk7,14,24,p,p
20210628_1400,nnri11b7,14,5,p,q
20210628_1400,yjzfuu2h,14,12,q,q
20210628_1400,3n62rgd0,14,19,p,p
20210628_1400,9f99a2hb,14,4,q,p
20210628_1400,cpgmvfnm,15,17,q,q
20210628_1400,o9o05hu1,15,8,p,q
20210628_1400,h8m28kat,15,4,p,p
20210628_1400,5sc4ncpy,15,9,q,q
20210628_1400,xio1kk58,15,9,p,q
20210628_1400,twsriyk7,15,4,q,p
20210628_1400,nnri11b7,15,18,p,p
20210628_1400,yjzfuu2h,15,14,q,q
20210628_1400,3n62rgd0,15,18,q,q
20210628_1400,9f99a2hb,15,12,p,q
20210628_1400,cpgmvfnm,16,8,q,q
20210628_1400,o9o05hu1,16,15,p,q
20210628_1400,h8m28kat,16,11,p,p
20210628_1400,5sc4ncpy,16,19,q,p
20210628_1400,xio1kk58,16,24,q,q
20210628_1400,twsriyk7,16,1,p,p
20210628_1400,nnri11b7,16,3,p,q
20210628_1400,yjzfuu2h,16,1,p,q
20210628_1400,3n62rgd0,16,8,q,p
20210628_1400,9f99a2hb,16,10,q,q
20210628_1400,cpgmvfnm,17,20,q,q
20210628_1400,o9o05hu1,17,4,q,q
20210628_1400,h8m28kat,17,15,p,q
20210628_1400,5sc4ncpy,17,11,q,q
20210628_1400,xio1kk58,17,1,q,p
20210628_1400,twsriyk7,17,22,p,q
20210628_1400,nnri11b7,17,24,q,p
20210628_1400,yjzfuu2h,17,11,p,p
20210628_1400,3n62rgd0,17,22,q,q
20210628_1400,9f99a2hb,17,14,q,p
20210628_1400,cpgmvfnm,18,21,q,q
20210628_1400,o9o05hu1,18,23,q,q
20210628_1400,h8m28kat,18,23,p,p
20210628_1400,5sc4ncpy,18,17,p,q
20210628_1400,xio1kk58,18,3,q,p
20210628_1400,twsriyk7,18,5,p,p
20210628_1400,nnri11b7,18,16,q,p
20210628_1400,yjzfuu2h,18,19,q,p
20210628_1400,3n62rgd0,18,16,q,p
20210628_1400,9f99a2hb,18,18,p,p
20210628_1400,cpgmvfnm,19,2,p,q
20210628_1400,o9o05hu1,19,17,p,q
20210628_1400,h8m28kat,19,13,p,p
20210628_1400,5sc4ncpy,19,3,p,q
20210628_1400,xio1kk58,19,13,q,q
20210628_1400,twsriyk7,19,7,q,p
20210628_1400,nnri11b7,19,23,p,q
20210628_1400,yjzfuu2h,19,15,p,q
20210628_1400,3n62rgd0,19,20,p,p
20210628_1400,9f99a2hb,19,9,p,q
20210628_1400,cpgmvfnm,20,9,q,q
20210628_1400,o9o05hu1,20,5,p,q
20210628_1400,h8m28kat,20,25,p,p
20210628_1400,5sc4ncpy,20,7,p,q
20210628_1400,xio1kk58,20,22,q,q
20210628_1400,twsriyk7,20,9,p,p
20210628_1400,nnri11b7,20,17,q,p
20210628_1400,yjzfuu2h,20,16,p,q
20210628_1400,3n62rgd0,20,7,p,q
20210628_1400,9f99a2hb,20,15,q,q
20210628_1400,cpgmvfnm,21,7,p,q
20210628_1400,o9o05hu1,21,16,q,q
20210628_1400,h8m28kat,21,6,q,p
20210628_1400,5sc4ncpy,21,5,p,q
20210628_1400,xio1kk58,21,12,q,q
20210628_1400,twsriyk7,21,3,p,q
20210628_1400,nnri11b7,21,10,p,q
20210628_1400,yjzfuu2h,21,21,q,q
20210628_1400,3n62rgd0,21,10,q,q
20210628_1400,9f99a2hb,21,13,q,q
20210628_1400,cpgmvfnm,22,1,p,q
20210628_1400,o9o05hu1,22,9,p,q
20210628_1400,h8m28kat,22,2,q,p
20210628_1400,5sc4ncpy,22,25,q,q
20210628_1400,xio1kk58,22,16,q,q
20210628_1400,twsriyk7,22,11,p,q
20210628_1400,nnri11b7,22,6,q,q
20210628_1400,yjzfuu2h,22,9,q,q
20210628_1400,3n62rgd0,22,14,p,p
20210628_1400,9f99a2hb,22,22,q,q
20210628_1400,cpgmvfnm,23,18,p,q
20210628_1400,o9o05hu1,23,11,p,q
20210628_1400,h8m28kat,23,18,q,p
20210628_1400,5sc4ncpy,23,14,q,q
20210628_1400,xio1kk58,23,19,p,p
20210628_1400,twsriyk7,23,21,q,q
20210628_1400,nnri11b7,23,14,p,p
20210628_1400,yjzfuu2h,23,4,q,q
20210628_1400,3n62rgd0,23,23,p,p
20210628_1400,9f99a2hb,23,20,q,p
20210628_1400,cpgmvfnm,24,5,p,q
20210628_1400,o9o05hu1,24,20,q,p
20210628_1400,h8m28kat,24,22,q,p
20210628_1400,5sc4ncpy,24,4,q,q
20210628_1400,xio1kk58,24,15,q,p
20210628_1400,twsriyk7,24,15,q,p
20210628_1400,nnri11b7,24,4,q,p
20210628_1400,yjzfuu2h,24,3,p,q
20210628_1400,3n62rgd0,24,24,q,p
20210628_1400,9f99a2hb,24,19,p,q
20210628_1400,cpgmvfnm,25,10,q,q
20210628_1400,o9o05hu1,25,25,q,q
20210628_1400,h8m28kat,25,10,q,p
20210628_1400,5sc4ncpy,25,10,p,q
20210628_1400,xio1kk58,25,8,p,p
20210628_1400,twsriyk7,25,8,p,p
20210628_1400,nnri11b7,25,25,p,q
20210628_1400,yjzfuu2h,25,13,q,q
20210628_1400,3n62rgd0,25,25,q,p
20210628_1400,9f99a2hb,25,11,p,q
20210628_1600,zu809ozq,1,14,q,p
20210628_1600,ji7tr1ce,1,16,p,q
20210628_1600,mcywebaj,1,12,p,q
20210628_1600,mffpnq55,1,2,q,q
20210628_1600,qhbw7gan,1,17,p,q
20210628_1600,gw7ncvdt,1,6,q,q
20210628_1600,djzpq5f3,1,22,p,q
20210628_1600,zu809ozq,2,4,p,p
20210628_1600,ji7tr1ce,2,13,p,q
20210628_1600,mcywebaj,2,2,q,p
20210628_1600,mffpnq55,2,20,q,p
20210628_1600,qhbw7gan,2,15,p,q
20210628_1600,gw7ncvdt,2,1,p,q
20210628_1600,djzpq5f3,2,20,p,p
20210628_1600,zu809ozq,3,20,p,p
20210628_1600,ji7tr1ce,3,18,p,p
20210628_1600,mcywebaj,3,8,p,q
20210628_1600,mffpnq55,3,6,p,q
20210628_1600,qhbw7gan,3,11,p,q
20210628_1600,gw7ncvdt,3,16,p,p
20210628_1600,djzpq5f3,3,8,p,p
20210628_1600,zu809ozq,4,18,p,p
20210628_1600,ji7tr1ce,4,14,q,p
20210628_1600,mcywebaj,4,15,q,p
20210628_1600,mffpnq55,4,10,q,q
20210628_1600,qhbw7gan,4,3,p,p
20210628_1600,gw7ncvdt,4,3,p,q
20210628_1600,djzpq5f3,4,18,p,p
20210628_1600,zu809ozq,5,17,p,p
20210628_1600,ji7tr1ce,5,19,q,p
20210628_1600,mcywebaj,5,1,q,q
20210628_1600,mffpnq55,5,23,p,q
20210628_1600,qhbw7gan,5,4,q,p
20210628_1600,gw7ncvdt,5,17,q,p
20210628_1600,djzpq5f3,5,3,p,q
20210628_1600,zu809ozq,6,7,p,q
20210628_1600,ji7tr1ce,6,10,q,q
20210628_1600,mcywebaj,6,7,q,p
20210628_1600,mffpnq55,6,8,p,q
20210628_1600,qhbw7gan,6,2,q,q
20210628_1600,gw7ncvdt,6,23,q,p
20210628_1600,djzpq5f3,6,14,p,q
20210628_1600,zu809ozq,7,23,q,p
20210628_1600,ji7tr1ce,7,12,q,p
20210628_1600,mcywebaj,7,19,q,p
20210628_1600,mffpnq55,7,17,p,q
20210628_1600,qhbw7gan,7,5,q,p
20210628_1600,gw7ncvdt,7,25,q,p
20210628_1600,djzpq5f3,7,24,p,q
20210628_1600,zu809ozq,8,11,p,p
20210628_1600,ji7tr1ce,8,23,q,p
20210628_1600,mcywebaj,8,11,p,p
20210628_1600,mffpnq55,8,25,q,q
20210628_1600,qhbw7gan,8,21,q,q
20210628_1600,gw7ncvdt,8,21,q,q
20210628_1600,djzpq5f3,8,19,q,p
20210628_1600,zu809ozq,9,2,q,q
20210628_1600,ji7tr1ce,9,6,q,q
20210628_1600,mcywebaj,9,21,p,q
20210628_1600,mffpnq55,9,7,q,q
20210628_1600,qhbw7gan,9,12,q,p
20210628_1600,gw7ncvdt,9,8,q,p
20210628_1600,djzpq5f3,9,6,p,q
20210628_1600,zu809ozq,10,5,q,q
20210628_1600,ji7tr1ce,10,25,p,p
20210628_1600,mcywebaj,10,20,q,p
20210628_1600,mffpnq55,10,18,p,q
20210628_1600,qhbw7gan,10,1,q,p
20210628_1600,gw7ncvdt,10,7,p,p
20210628_1600,djzpq5f3,10,5,p,q
20210628_1600,zu809ozq,11,25,q,p
20210628_1600,ji7tr1ce,11,2,q,q
20210628_1600,mcywebaj,11,22,p,q
20210628_1600,mffpnq55,11,24,q,p
20210628_1600,qhbw7gan,11,9,q,q
20210628_1600,gw7ncvdt,11,5,q,q
20210628_1600,djzpq5f3,11,7,q,q
20210628_1600,zu809ozq,12,10,p,p
20210628_1600,ji7tr1ce,12,20,q,p
20210628_1600,mcywebaj,12,9,p,p
20210628_1600,mffpnq55,12,22,p,q
20210628_1600,qhbw7gan,12,13,p,q
20210628_1600,gw7ncvdt,12,2,p,q
20210628_1600,djzpq5f3,12,25,p,q
20210628_1600,zu809ozq,13,6,p,q
20210628_1600,ji7tr1ce,13,17,q,q
20210628_1600,mcywebaj,13,13,p,p
20210628_1600,mffpnq55,13,5,p,q
20210628_1600,qhbw7gan,13,6,p,q
20210628_1600,gw7ncvdt,13,24,p,q
20210628_1600,djzpq5f3,13,12,p,q
20210628_1600,zu809ozq,14,21,q,q
20210628_1600,ji7tr1ce,14,24,p,p
20210628_1600,mcywebaj,14,5,p,q
20210628_1600,mffpnq55,14,12,q,q
20210628_1600,qhbw7gan,14,19,p,p
20210628_1600,gw7ncvdt,14,4,q,q
20210628_1600,djzpq5f3,14,4,p,q
20210628_1600,zu809ozq,15,9,p,q
20210628_1600,ji7tr1ce,15,4,q,q
20210628_1600,mcywebaj,15,18,p,p
20210628_1600,mffpnq55,15,14,q,q
20210628_1600,qhbw7gan,15,18,q,p
20210628_1600,gw7ncvdt,15,12,p,p
20210628_1600,djzpq5f3,15,2,q,q
20210628_1600,zu809ozq,16,24,q,p
20210628_1600,ji7tr1ce,16,1,p,q
20210628_1600,mcywebaj,16,3,p,q
20210628_1600,mffpnq55,16,1,p,q
20210628_1600,qhbw7gan,16,8,q,p
20210628_1600,gw7ncvdt,16,10,q,p
20210628_1600,djzpq5f3,16,9,p,q
20210628_1600,zu809ozq,17,1,q,q
20210628_1600,ji7tr1ce,17,22,p,q
20210628_1600,mcywebaj,17,24,q,p
20210628_1600,mffpnq55,17,11,p,q
20210628_1600,qhbw7gan,17,22,q,q
20210628_1600,gw7ncvdt,17,14,q,q
20210628_1600,djzpq5f3,17,10,p,q
20210628_1600,zu809ozq,18,3,q,p
20210628_1600,ji7tr1ce,18,5,p,q
20210628_1600,mcywebaj,18,16,q,p
20210628_1600,mffpnq55,18,19,q,p
20210628_1600,qhbw7gan,18,16,q,p
20210628_1600,gw7ncvdt,18,18,p,q
20210628_1600,djzpq5f3,18,17,p,q
20210628_1600,zu809ozq,19,13,q,q
20210628_1600,ji7tr1ce,19,7,q,q
20210628_1600,mcywebaj,19,23,p,q
20210628_1600,mffpnq55,19,15,p,q
20210628_1600,qhbw7gan,19,20,p,p
20210628_1600,gw7ncvdt,19,9,p,p
20210628_1600,djzpq5f3,19,21,q,q
20210628_1600,zu809ozq,20,22,q,q
20210628_1600,ji7tr1ce,20,9,p,p
20210628_1600,mcywebaj,20,17,q,p
20210628_1600,mffpnq55,20,16,p,q
20210628_1600,qhbw7gan,20,7,p,p
20210628_1600,gw7ncvdt,20,15,q,p
20210628_1600,djzpq5f3,20,16,p,p
20210628_1600,zu809ozq,21,12,q,q
20210628_1600,ji7tr1ce,21,3,p,q
20210628_1600,mcywebaj,21,10,p,q
20210628_1600,mffpnq55,21,21,q,q
20210628_1600,qhbw7gan,21,10,q,q
20210628_1600,gw7ncvdt,21,13,q,q
20210628_1600,djzpq5f3,21,11,q,q
20210628_1600,zu809ozq,22,16,q,q
20210628_1600,ji7tr1ce,22,11,p,q
20210628_1600,mcywebaj,22,6,q,q
20210628_1600,mffpnq55,22,9,q,q
20210628_1600,qhbw7gan,22,14,p,p
20210628_1600,gw7ncvdt,22,22,q,q
20210628_1600,djzpq5f3,22,13,q,q
20210628_1600,zu809ozq,23,19,p,p
20210628_1600,ji7tr1ce,23,21,q,p
20210628_1600,mcywebaj,23,14,p,q
20210628_1600,mffpnq55,23,4,q,q
20210628_1600,qhbw7gan,23,23,p,p
20210628_1600,gw7ncvdt,23,20,q,p
20210628_1600,djzpq5f3,23,23,p,q
20210628_1600,zu809ozq,24,15,q,p
20210628_1600,ji7tr1ce,24,15,q,q
20210628_1600,mcywebaj,24,4,q,p
20210628_1600,mffpnq55,24,3,p,q
20210628_1600,qhbw7gan,24,24,q,q
20210628_1600,gw7ncvdt,24,19,p,p
20210628_1600,djzpq5f3,24,15,p,q
20210628_1600,zu809ozq,25,8,p,p
20210628_1600,ji7tr1ce,25,8,p,q
20210628_1600,mcywebaj,25,25,p,p
20210628_1600,mffpnq55,25,13,q,q
20210628_1600,qhbw7gan,25,25,q,q
20210628_1600,gw7ncvdt,25,11,p,q
20210628_1600,djzpq5f3,25,1,q,q
20210630_1000,8hdqutwb,1,22,p,q
20210630_1000,3zofwepw,1,12,p,q
20210630_1000,72xz8gcz,1,11,q,q
20210630_1000,rzzn1i8f,1,16,q,q
20210630_1000,00g32yc1,1,17,q,q
20210630_1000,6u6fnn44,1,4,q,p
20210630_1000,qnd60n7v,1,12,q,q
20210630_1000,n0cakvnn,1,16,q,q
20210630_1000,eay5gfc3,1,13,p,p
20210630_1000,wtxzvb4e,1,2,p,q
20210630_1000,ua20fd02,1,4,p,q
20210630_1000,fqh1ix42,1,17,q,q
20210630_1000,8hdqutwb,2,20,p,p
20210630_1000,3zofwepw,2,9,q,q
20210630_1000,72xz8gcz,2,6,p,q
20210630_1000,rzzn1i8f,2,9,p,p
20210630_1000,00g32yc1,2,1,p,q
20210630_1000,6u6fnn44,2,10,p,q
20210630_1000,qnd60n7v,2,24,q,p
20210630_1000,n0cakvnn,2,21,q,q
20210630_1000,eay5gfc3,2,21,p,q
20210630_1000,wtxzvb4e,2,11,p,q
20210630_1000,ua20fd02,2,1,q,q
20210630_1000,fqh1ix42,2,25,p,p
20210630_1000,8hdqutwb,3,8,p,q
20210630_1000,3zofwepw,3,1,p,q
20210630_1000,72xz8gcz,3,5,q,p
20210630_1000,rzzn1i8f,3,23,p,q
20210630_1000,00g32yc1,3,8,p,p
20210630_1000,6u6fnn44,3,16,q,p
20210630_1000,qnd60n7v,3,13,q,q
20210630_1000,n0cakvnn,3,14,q,p
20210630_1000,eay5gfc3,3,25,q,p
20210630_1000,wtxzvb4e,3,7,q,p
20210630_1000,ua20fd02,3,15,p,q
20210630_1000,fqh1ix42,3,6,q,q
20210630_1000,8hdqutwb,4,18,p,q
20210630_1000,3zofwepw,4,14,q,p
20210630_1000,72xz8gcz,4,13,q,p
20210630_1000,rzzn1i8f,4,6,p,q
20210630_1000,00g32yc1,4,9,q,q
20210630_1000,6u6fnn44,4,17,q,p
20210630_1000,qnd60n7v,4,18,p,q
20210630_1000,n0cakvnn,4,7,p,p
20210630_1000,eay5gfc3,4,4,q,q
20210630_1000,wtxzvb4e,4,4,q,q
20210630_1000,ua20fd02,4,13,p,q
20210630_1000,fqh1ix42,4,19,q,p
20210630_1000,8hdqutwb,5,3,p,q
20210630_1000,3zofwepw,5,6,q,q
20210630_1000,72xz8gcz,5,7,p,p
20210630_1000,rzzn1i8f,5,19,p,p
20210630_1000,00g32yc1,5,2,q,q
20210630_1000,6u6fnn44,5,13,q,p
20210630_1000,qnd60n7v,5,25,q,p
20210630_1000,n0cakvnn,5,4,q,q
20210630_1000,eay5gfc3,5,8,p,q
20210630_1000,wtxzvb4e,5,8,q,p
20210630_1000,ua20fd02,5,19,q,p
20210630_1000,fqh1ix42,5,8,q,p
20210630_1000,8hdqutwb,6,14,p,q
20210630_1000,3zofwepw,6,15,p,q
20210630_1000,72xz8gcz,6,20,p,p
20210630_1000,rzzn1i8f,6,21,q,q
20210630_1000,00g32yc1,6,14,p,p
20210630_1000,6u6fnn44,6,9,q,q
20210630_1000,qnd60n7v,6,22,q,q
20210630_1000,n0cakvnn,6,12,q,q
20210630_1000,eay5gfc3,6,19,p,p
20210630_1000,wtxzvb4e,6,15,p,q
20210630_1000,ua20fd02,6,6,p,q
20210630_1000,fqh1ix42,6,9,p,q
20210630_1000,8hdqutwb,7,24,p,p
20210630_1000,3zofwepw,7,13,p,q
20210630_1000,72xz8gcz,7,1,q,p
20210630_1000,rzzn1i8f,7,1,p,p
20210630_1000,00g32yc1,7,20,q,p
20210630_1000,6u6fnn44,7,14,p,q
20210630_1000,qnd60n7v,7,6,p,p
20210630_1000,n0cakvnn,7,10,p,q
20210630_1000,eay5gfc3,7,11,q,q
20210630_1000,wtxzvb4e,7,18,p,q
20210630_1000,ua20fd02,7,10,p,p
20210630_1000,fqh1ix42,7,18,q,p
20210630_1000,8hdqutwb,8,19,q,p
20210630_1000,3zofwepw,8,20,q,p
20210630_1000,72xz8gcz,8,12,p,p
20210630_1000,rzzn1i8f,8,13,q,q
20210630_1000,00g32yc1,8,6,p,q
20210630_1000,6u6fnn44,8,24,p,p
20210630_1000,qnd60n7v,8,3,q,q
20210630_1000,n0cakvnn,8,24,q,p
20210630_1000,eay5gfc3,8,24,p,q
20210630_1000,wtxzvb4e,8,21,q,q
20210630_1000,ua20fd02,8,20,p,p
20210630_1000,fqh1ix42,8,14,p,q
20210630_1000,8hdqutwb,9,6,p,q
20210630_1000,3zofwepw,9,17,q,p
20210630_1000,72xz8gcz,9,9,p,p
20210630_1000,rzzn1i8f,9,2,p,q
20210630_1000,00g32yc1,9,15,p,p
20210630_1000,6u6fnn44,9,23,q,p
20210630_1000,qnd60n7v,9,21,q,q
20210630_1000,n0cakvnn,9,19,q,p
20210630_1000,eay5gfc3,9,6,q,q
20210630_1000,wtxzvb4e,9,10,q,q
20210630_1000,ua20fd02,9,9,p,q
20210630_1000,fqh1ix42,9,22,q,q
20210630_1000,8hdqutwb,10,5,p,q
20210630_1000,3zofwepw,10,24,p,q
20210630_1000,72xz8gcz,10,14,p,p
20210630_1000,rzzn1i8f,10,18,q,q
20210630_1000,00g32yc1,10,16,p,q
20210630_1000,6u6fnn44,10,1,p,q
20210630_1000,qnd60n7v,10,16,p,p
20210630_1000,n0cakvnn,10,9,p,q
20210630_1000,eay5gfc3,10,14,p,q
20210630_1000,wtxzvb4e,10,13,q,p
20210630_1000,ua20fd02,10,12,q,q
20210630_1000,fqh1ix42,10,24,p,p
20210630_1000,8hdqutwb,11,7,q,q
20210630_1000,3zofwepw,11,3,q,q
20210630_1000,72xz8gcz,11,17,p,p
20210630_1000,rzzn1i8f,11,4,q,q
20210630_1000,00g32yc1,11,5,p,q
20210630_1000,6u6fnn44,11,18,p,p
20210630_1000,qnd60n7v,11,1,q,p
20210630_1000,n0cakvnn,11,13,q,p
20210630_1000,eay5gfc3,11,22,p,q
20210630_1000,wtxzvb4e,11,23,q,q
20210630_1000,ua20fd02,11,7,q,p
20210630_1000,fqh1ix42,11,23,q,p
20210630_1000,8hdqutwb,12,25,p,p
20210630_1000,3zofwepw,12,2,p,q
20210630_1000,72xz8gcz,12,10,p,q
20210630_1000,rzzn1i8f,12,5,p,q
20210630_1000,00g32yc1,12,13,q,p
20210630_1000,6u6fnn44,12,12,p,q
20210630_1000,qnd60n7v,12,8,q,p
20210630_1000,n0cakvnn,12,15,p,q
20210630_1000,eay5gfc3,12,23,q,q
20210630_1000,wtxzvb4e,12,5,p,q
20210630_1000,ua20fd02,12,17,p,p
20210630_1000,fqh1ix42,12,2,p,q
20210630_1000,8hdqutwb,13,12,p,q
20210630_1000,3zofwepw,13,8,p,q
20210630_1000,72xz8gcz,13,4,q,p
20210630_1000,rzzn1i8f,13,20,q,p
20210630_1000,00g32yc1,13,12,q,q
20210630_1000,6u6fnn44,13,2,q,p
20210630_1000,qnd60n7v,13,9,p,q
20210630_1000,n0cakvnn,13,23,p,p
20210630_1000,eay5gfc3,13,16,p,p
20210630_1000,wtxzvb4e,13,14,p,q
20210630_1000,ua20fd02,13,14,p,q
20210630_1000,fqh1ix42,13,16,q,p
20210630_1000,8hdqutwb,14,4,p,q
20210630_1000,3zofwepw,14,11,p,q
20210630_1000,72xz8gcz,14,25,q,p
20210630_1000,rzzn1i8f,14,11,q,q
20210630_1000,00g32yc1,14,7,p,p
20210630_1000,6u6fnn44,14,7,p,p
20210630_1000,qnd60n7v,14,14,p,q
20210630_1000,n0cakvnn,14,1,q,q
20210630_1000,eay5gfc3,14,2,q,q
20210630_1000,wtxzvb4e,14,22,p,q
20210630_1000,ua20fd02,14,5,p,q
20210630_1000,fqh1ix42,14,21,q,q
20210630_1000,8hdqutwb,15,2,q,q
20210630_1000,3zofwepw,15,5,p,q
20210630_1000,72xz8gcz,15,3,q,q
20210630_1000,rzzn1i8f,15,22,q,q
20210630_1000,00g32yc1,15,10,p,q
20210630_1000,6u6fnn44,15,8,p,p
20210630_1000,qnd60n7v,15,10,p,q
20210630_1000,n0cakvnn,15,11,q,q
20210630_1000,eay5gfc3,15,7,p,q
20210630_1000,wtxzvb4e,15,16,q,q
20210630_1000,ua20fd02,15,16,p,p
20210630_1000,fqh1ix42,15,5,p,q
20210630_1000,8hdqutwb,16,9,p,q
20210630_1000,3zofwepw,16,7,p,q
20210630_1000,72xz8gcz,16,8,p,p
20210630_1000,rzzn1i8f,16,17,p,p
20210630_1000,00g32yc1,16,23,q,p
20210630_1000,6u6fnn44,16,19,q,p
20210630_1000,qnd60n7v,16,23,q,p
20210630_1000,n0cakvnn,16,5,q,p
20210630_1000,eay5gfc3,16,9,p,q
20210630_1000,wtxzvb4e,16,25,p,p
20210630_1000,ua20fd02,16,23,q,p
20210630_1000,fqh1ix42,16,3,p,q
20210630_1000,8hdqutwb,17,10,p,q
20210630_1000,3zofwepw,17,22,p,q
20210630_1000,72xz8gcz,17,21,p,q
20210630_1000,rzzn1i8f,17,8,q,q
20210630_1000,00g32yc1,17,21,q,q
20210630_1000,6u6fnn44,17,20,q,p
20210630_1000,qnd60n7v,17,7,p,q
20210630_1000,n0cakvnn,17,8,p,q
20210630_1000,eay5gfc3,17,3,p,q
20210630_1000,wtxzvb4e,17,6,q,q
20210630_1000,ua20fd02,17,24,p,p
20210630_1000,fqh1ix42,17,7,q,q
20210630_1000,8hdqutwb,18,17,p,q
20210630_1000,3zofwepw,18,21,q,p
20210630_1000,72xz8gcz,18,19,p,p
20210630_1000,rzzn1i8f,18,12,q,q
20210630_1000,00g32yc1,18,24,q,q
20210630_1000,6u6fnn44,18,6,q,p
20210630_1000,qnd60n7v,18,20,q,p
20210630_1000,n0cakvnn,18,22,p,p
20210630_1000,eay5gfc3,18,10,q,q
20210630_1000,wtxzvb4e,18,20,p,p
20210630_1000,ua20fd02,18,8,q,q
20210630_1000,fqh1ix42,18,1,p,q
20210630_1000,8hdqutwb,19,21,q,q
20210630_1000,3zofwepw,19,16,q,q
20210630_1000,72xz8gcz,19,22,p,q
20210630_1000,rzzn1i8f,19,25,p,q
20210630_1000,00g32yc1,19,19,p,p
20210630_1000,6u6fnn44,19,11,q,p
20210630_1000,qnd60n7v,19,5,q,q
20210630_1000,n0cakvnn,19,17,q,p
20210630_1000,eay5gfc3,19,5,p,q
20210630_1000,wtxzvb4e,19,1,p,q
20210630_1000,ua20fd02,19,2,q,q
20210630_1000,fqh1ix42,19,10,q,q
20210630_1000,8hdqutwb,20,16,p,q
20210630_1000,3zofwepw,20,23,q,q
20210630_1000,72xz8gcz,20,15,p,p
20210630_1000,rzzn1i8f,20,10,p,q
20210630_1000,00g32yc1,20,22,q,q
20210630_1000,6u6fnn44,20,15,p,q
20210630_1000,qnd60n7v,20,4,p,p
20210630_1000,n0cakvnn,20,18,p,q
20210630_1000,eay5gfc3,20,15,q,q
20210630_1000,wtxzvb4e,20,17,q,q
20210630_1000,ua20fd02,20,22,p,q
20210630_1000,fqh1ix42,20,15,p,p
20210630_1000,8hdqutwb,21,11,q,q
20210630_1000,3zofwepw,21,4,p,q
20210630_1000,72xz8gcz,21,16,q,p
20210630_1000,rzzn1i8f,21,3,q,q
20210630_1000,00g32yc1,21,25,q,q
20210630_1000,6u6fnn44,21,21,q,q
20210630_1000,qnd60n7v,21,2,p,q
20210630_1000,n0cakvnn,21,25,p,p
20210630_1000,eay5gfc3,21,1,p,q
20210630_1000,wtxzvb4e,21,12,q,q
20210630_1000,ua20fd02,21,11,p,q
20210630_1000,fqh1ix42,21,12,q,q
20210630_1000,8hdqutwb,22,13,q,q
